station1,station2,distance,double_direction
丰台南路,富丰桥,1187,1
富丰桥,看丹,1226,1
看丹,榆树庄,1442,1
十里河,周家庄,1672,1
周家庄,十八里店,2349,1
十八里店,北神树,5840,1
北神树,次渠北,2334,1
次渠北,次渠,1455,1
次渠,嘉会湖,2125,1
牡丹园,北太平庄,920,1
北太平庄,积水潭,2450,1
积水潭,平安里,1590,1
平安里,太平桥,2710,1
太平桥,牛街,2140,1
牛街,景风门,2960,1
景风门,草桥,2680,1
草桥,新发地,2650,1
新发地,新宫,2740,1
草桥,大兴新城,13028,1
大兴新城,大兴机场,25303,1
香山,植物园,983,1
植物园,万安,1733,1
万安,茶棚,1550,1
茶棚,颐和园西门,1505,1
颐和园西门,巴沟,2922,1
石厂,小园,1297,1
小园,栗园庄,1266,1
栗园庄,上岸,1044,1
上岸,桥户营,1065,1
桥户营,四道桥,834,1
四道桥,金安桥,2736,1
金安桥,苹果园,1419,1
燕山,房山城关,2076,1
房山城关,饶乐府,1777,1
饶乐府,马各庄,984,1
马各庄,大石河东,2087,1
大石河东,星城,1929,1
星城,阎村,1649,1
阎村,紫草坞,1210,1
紫草坞,阎村东,1541,1
公益西桥,新宫,2798,1
新宫,西红门,5102,1
西红门,高米店北,1810,1
高米店北,高米店南,1128,1
高米店南,枣园,1096,1
枣园,清源路,1200,1
清源路,黄村西大街,1214,1
黄村西大街,黄村火车站,987,1
黄村火车站,义和庄,2035,1
义和庄,生物医药基地,2918,1
生物医药基地,天宫院,1811,1
昌平西山口,十三陵景区,1213,1
十三陵景区,昌平,3508,1
昌平,昌平东关,2433,1
昌平东关,北邵洼,1683,1
北邵洼,南邵,1958,1
南邵,沙河高教园,5357,1
沙河高教园,沙河,1964,1
沙河,巩华城,2025,1
巩华城,朱辛庄,3799,1
朱辛庄,生命科学园,2367,1
生命科学园,西二旗,5440,1
西二旗,清河站,1545,1
清河站,朱房北,1652,1
朱房北,清河小营桥,1158,1
清河小营桥,学知园,2366,1
学知园,六道口,1683,1
六道口,学院桥,1312,1
学院桥,西土城,1481,1
东管头南,首经贸,1137,1
首经贸,花乡东桥,1793,1
花乡东桥,白盆窑,1668,1
白盆窑,郭公庄,1138,1
郭公庄,大葆台,1405,1
大葆台,稻田,6466,1
稻田,长阳,4042,1
长阳,篱笆房,2150,1
篱笆房,广阳城,1474,1
广阳城,良乡大学城北,2003,1
良乡大学城北,良乡大学城,1188,1
良乡大学城,良乡大学城西,1739,1
良乡大学城西,良乡南关,1333,1
良乡南关,苏庄,1331,1
苏庄,阎村东,2200,1
宋家庄,肖村,2631,1
肖村,小红门,1275,1
小红门,旧宫,2366,1
旧宫,亦庄桥,1982,1
亦庄桥,亦庄文化园,993,1
亦庄文化园,万源街,1538,1
万源街,荣京东街,1280,1
荣京东街,荣昌东街,1354,1
荣昌东街,同济南路,2338,1
同济南路,经海路,2265,1
经海路,次渠南,2086,1
次渠南,次渠,1281,1
次渠,亦庄火车站,1334,1
四惠,四惠东,1715,1
四惠东,高碑店,1375,1
高碑店,传媒大学,2002,1
传媒大学,双桥,1894,1
双桥,管庄,1912,1
管庄,八里桥,1763,1
八里桥,通州北苑,1700,1
通州北苑,果园,1465,1
果园,九棵树,990,1
九棵树,梨园,1225,1
梨园,临河里,1257,1
临河里,土桥,776,1
土桥,花庄,2238,1
花庄,环球度假区,1863,1
北新桥,东直门,1622,1
东直门,三元桥,3022,1
三元桥,3号航站楼,18322,0
3号航站楼,2号航站楼,7243,0
2号航站楼,三元桥,20738,0
定海园,定海园西,1055,0
定海园西,定海园,880,0
定海园西,经海一路,1083,0
经海一路,定海园西,1257,0
经海一路,亦创会展中心,1368,1
亦创会展中心,荣昌东街,608,1
荣昌东街,亦庄同仁,604,1
亦庄同仁,鹿圈东,1228,1
鹿圈东,泰河路,739,1
泰河路,九号村,606,1
九号村,四海庄,993,1
四海庄,太和桥北,638,1
太和桥北,瑞合庄,1208,0
瑞合庄,太和桥北,1375,0
瑞合庄,融兴街,798,0
融兴街,瑞合庄,802,0
融兴街,屈庄,787,0
屈庄,融兴街,801,0
